Date,Gold 999.9,Gold 995.0,Silver
2024-05-30,Rs. 120455.00,Rs. 0.00,Rs. 1629.00
2024-05-29,Rs. 118485.00,Rs. 0.00,Rs. 1654.50
2024-05-28,Rs. 117970.00,Rs. 0.00,Rs. 1646.00
2024-05-27,Rs. 117625.00,Rs. 0.00,Rs. 1612.00
2024-05-26,Rs. 117370.00,Rs. 0.00,Rs. 1590.50
2024-05-24,Rs. 117370.00,Rs. 0.00,Rs. 1590.50
2024-05-23,Rs. 118915.00,Rs. 0.00,Rs. 1599.00
2024-05-22,Rs. 120455.00,Rs. 0.00,Rs. 1629.00
2024-05-21,Rs. 120540.00,Rs. 0.00,Rs. 1616.00
2024-05-20,Rs. 121570.00,Rs. 0.00,Rs. 1663.00
2024-05-19,Rs. 120800.00,Rs. 0.00,Rs. 1637.50
2024-05-17,Rs. 119430.00,Rs. 0.00,Rs. 1543.00
2024-05-16,Rs. 120030.00,Rs. 0.00,Rs. 1547.00
2024-05-15,Rs. 118655.00,Rs. 0.00,Rs. 1496.00
2024-05-14,Rs. 117800.00,Rs. 0.00,Rs. 1492.00
2024-05-13,Rs. 118400.00,Rs. 0.00,Rs. 1470.50
2024-05-12,Rs. 118655.00,Rs. 0.00,Rs. 1479.00
2024-05-10,Rs. 118230.00,Rs. 0.00,Rs. 1487.50
2024-05-09,Rs. 116255.00,Rs. 0.00,Rs. 1444.50
2024-05-08,Rs. 116940.00,Rs. 0.00,Rs. 1436.00
2024-05-07,Rs. 116940.00,Rs. 0.00,Rs. 1436.00
2024-05-06,Rs. 116255.00,Rs. 0.00,Rs. 1423.00
2024-05-05,Rs. 116085.00,Rs. 0.00,Rs. 1406.00
2024-05-03,Rs. 116085.00,Rs. 0.00,Rs. 1410.00
2024-05-02,Rs. 117025.00,Rs. 0.00,Rs. 1410.00
2024-05-01,Rs. 115310.00,Rs. 0.00,Rs. 1397.50
2024-04-30,Rs. 117625.00,Rs. 0.00,Rs. 1415.00
2024-04-29,Rs. 117625.00,Rs. 0.00,Rs. 1427.50
2024-04-28,Rs. 117970.00,Rs. 0.00,Rs. 1423.00
2024-04-26,Rs. 117625.00,Rs. 0.00,Rs. 1436.00
2024-04-25,Rs. 116425.00,Rs. 0.00,Rs. 1419.00
2024-04-24,Rs. 116600.00,Rs. 0.00,Rs. 1432.00
2024-04-23,Rs. 116170.00,Rs. 0.00,Rs. 1423.00
2024-04-22,Rs. 118485.00,Rs. 0.00,Rs. 1462.00
2024-04-21,Rs. 119430.00,Rs. 0.00,Rs. 1492.00
2024-04-19,Rs. 119430.00,Rs. 0.00,Rs. 1474.50
2024-04-18,Rs. 118830.00,Rs. 0.00,Rs. 1479.00
2024-04-17,Rs. 119340.00,Rs. 0.00,Rs. 1470.50
2024-04-16,Rs. 119340.00,Rs. 0.00,Rs. 1500.50
2024-04-15,Rs. 117885.00,Rs. 0.00,Rs. 1470.50
2024-04-14,Rs. 117285.00,Rs. 0.00,Rs. 1457.50
2024-04-12,Rs. 119170.00,Rs. 0.00,Rs. 1500.50
2024-04-11,Rs. 117115.00,Rs. 0.00,Rs. 1457.50
2024-04-10,Rs. 117285.00,Rs. 0.00,Rs. 1457.50
2024-04-09,Rs. 116855.00,Rs. 0.00,Rs. 1444.50
2024-04-08,Rs. 116770.00,Rs. 0.00,Rs. 1444.50
2024-04-07,Rs. 116255.00,Rs. 0.00,Rs. 1432.00
2024-04-05,Rs. 113770.00,Rs. 0.00,Rs. 1384.50
2024-04-04,Rs. 114885.00,Rs. 0.00,Rs. 1414.50
2024-04-03,Rs. 114025.00,Rs. 0.00,Rs. 1380.50
2024-04-02,Rs. 112485.00,Rs. 0.00,Rs. 1324.50
2024-04-01,Rs. 112825.00,Rs. 0.00,Rs. 1316.00
2024-03-31,Rs. 111455.00,Rs. 0.00,Rs. 1307.50
2024-03-29,Rs. 111455.00,Rs. 0.00,Rs. 1307.50
2024-03-28,Rs. 109655.00,Rs. 0.00,Rs. 1294.50
2024-03-27,Rs. 108710.00,Rs. 0.00,Rs. 1277.50
2024-03-26,Rs. 108370.00,Rs. 0.00,Rs. 1290.50
2024-03-25,Rs. 108625.00,Rs. 0.00,Rs. 1299.00
2024-03-22,Rs. 108455.00,Rs. 0.00,Rs. 1286.00
2024-03-21,Rs. 109570.00,Rs. 0.00,Rs. 1333.00
