Bank Name,Established,Headquarters,Paid-up capital
Agriculture Development Bank,1968,"Ramshahpath, Kathmandu",रु 18.88 Arab
Nepal Bank,1937,"Bhugol Park, Kathmandu",रु 14.69 Arab
Rastriya Banijya Bank,1966,"Singhadurbarplaza, Kathmandu",रु 15.64 Arab
Citizens Bank International Limited,2007,"Narayanhitipath, Kathmandu",रु 14.20 Arab
Everest Bank,1994,"Lazimpat, Kathmandu",रु 11.77 Arab
Global IME Bank Limited,2023,"Kamaladi, Kathmandu",रु 36.13 Arab
Himalayan Bank,1993,"Kamaladi, Kathmandu",रु 21.66 Arab
Kumari Bank,2023,"Naxal, Kathmandu",रु 26.23 Arab
Laxmi Sunrise Bank,2023,"Hattisar, Kathmandu",रु 21.67 Arab
Machhapuchhre Bank,2012,"Lazimpat, Kathmandu",रु 11.62 Arab
Nabil Bank,1984,"Teendhara, Kathmandu",रु 27.06 Arab
Nepal Investment Mega Bank,2023,"Durbarmarg, Kathmandu",रु 34.13 Arab
Nepal SBI Bank,1993,"Kesharmahal, Kathmandu",रु 10.12 Arab
NIC Asia Bank,2013,"Thapathali, Kathmandu",रु 14.92 Arab
NMB Bank,2008,"Babarmahal, Kathmandu",रु 18.37 Arab
Prabhu Bank,2023,"Anamnagar, Kathmandu",रु 23.54 Arab
Prime Commercial Bank,2007,"Kamalpokhari, Kathmandu",रु 19.40 Arab
Sanima Bank,2012,"Narayanchaur, Kathmandu",रु 13.58 Arab
Siddhartha Bank,2002,"Hattisar, Kathmandu",रु 14.09 Arab
Standard Chartered Bank,1987,"Nayabaneshwor, Kathmandu",रु 9.43 Arab
