Bank Name,Established,Headquarters,Working Area,Paid-up capital
Corporate Development Bank,2007,"Birgunj, Madhesh",3 Districts,रु 0.53 Arab
Excel Development Bank,2005,"Birtamod, Koshi",Provincial,रु 1.25 Arab
Garima Bikas Bank,2007,"Lazimpat, Kathmandu",National,रु 5.19 Arab
Green Development Bank,2013,"Pokhara, Gandaki",5 Districts,रु 0.52 Arab
Jyoti Bikas Bank,2008,"Kamaladi, Kathmandu",National,रु 4.40 Arab
Kamana Sewa Bikas Bank,2006,"Gyaneshwor, Kathmandu",National,रु 3.14 Arab
Karnali Development Bank,2004,"Nepalgunj, Lumbini",5 Districts,रु 0.50 Arab
Lumbini Bikas Bank,1998,"Dillibazaar, Kathmandu",National,रु 3.52 Arab
Mahalaxmi Development Bank,1995,"Durbar Marg, Kathmandu",National,रु 4.17 Arab
Miteri Development Bank,2006,"Dharan, Koshi",5 Districts,रु 1.11 Arab
Muktinath Bikash Bank,2007,"Kamaladi, Kathmandu",National,रु 7.04 Arab
Narayani Development Bank,2001,"Ratnanagar, Bagmati",3 Districts,रु 0.26 Arab
Salapa Bikash Bank,2013,"Diktel, Koshi",1 District,रु 0.35 Arab
Saptakoshi Development Bank,2012,"Dhankuta, Koshi",7 Districts,रु 0.83 Arab
Sangrila Development Bank,2014,"Baluwatar, Kathmandu",National,रु 3.43 Arab
Shine Resunga Development Bank,2013,"Butwal, Lumbini",National,रु 4.73 Arab
Sindhu Bikas Bank,2010,"Barhabise, Bagmati",5 Districts,रु 0.56 Arab
