PersonID,Skills
eca46f28-fbf0-4017-a640-2b4a97608dd5,"['CSS', 'JavaScript', 'Java']"
1aaca423-7b3e-473c-a527-8fa50103319e,"['Java', 'SQL', 'CSS']"
4c00e3eb-d004-4a24-968a-a4b4a7f45666,"['C++', 'R', 'HTML']"
ba029326-d759-418e-bb1f-b43cd2dcd62c,['R']
979ff92c-5b62-4c18-8e36-a814cf3f9bf7,['Machine Learning']
f3315297-c21a-4963-bbf2-641b7322e74e,"['JavaScript', 'HTML', 'C++']"
07fd9e5e-56ff-47e3-9f13-109afc4d44eb,"['Java', 'CSS', 'Data Science', 'JavaScript', 'C++']"
7528a156-4f56-4d25-9570-64d190e624d2,"['Machine Learning', 'Java', 'Data Science']"
41e70198-ecae-44cb-818d-ef8d6be8c1cf,"['Python', 'Machine Learning', 'JavaScript', 'R', 'SQL']"
91a8eed2-d8e5-40c1-bfdc-de65bf9d2b42,"['R', 'Machine Learning']"
670b10f5-4c7b-40a1-9398-2208625ebb8a,['CSS']
2c48ee91-9055-4fb6-b192-557f64865c16,"['SQL', 'R', 'C++']"
403132f7-0b53-45f9-8c3c-ceee76ce4d2f,"['SQL', 'CSS', 'Data Science', 'R', 'Java']"
af67bbfa-4ea7-482b-9e7a-76c626f32226,['Machine Learning']
461dcf17-e3a5-4b50-a8a0-f2a517ba53a5,"['Java', 'Machine Learning', 'HTML', 'SQL']"
be25416f-8259-4d13-911c-408b09b55a8d,"['Java', 'Data Science', 'R']"
fca006e8-ff08-45f6-a15d-5786acc4b322,"['Machine Learning', 'Data Science', 'SQL', 'CSS', 'C++']"
5ea8e5c0-5e7b-4c00-a331-e678289507f6,['Python']
849b8439-19b8-48e9-8d5d-3230fc97c14d,"['CSS', 'Data Science', 'JavaScript']"
10935fad-6c4d-4c74-af8d-98238dc0adb9,"['JavaScript', 'Python', 'R', 'Machine Learning']"
c6c2951f-9f17-4611-bcb1-5a1f1d2d60ef,"['Java', 'C++', 'R', 'Python', 'CSS']"
42c093b9-300a-4a18-b180-24995d4015f3,['Machine Learning']
eb11313d-f005-4229-9b4d-b02cf8d454cb,"['JavaScript', 'Machine Learning', 'C++']"
2172441d-5d53-46f8-ac46-b31024273cc6,"['R', 'Machine Learning']"
3e6b3a37-4d13-41a5-a573-cafbdc5a655e,"['C++', 'Data Science', 'JavaScript', 'SQL', 'HTML']"
86af72c8-c783-4153-8af0-0f40955294bf,"['C++', 'Data Science']"
dd7d6b2c-c599-468d-92f6-5a2692b40ce8,['Java']
15ccef45-33d6-421c-9557-3e5220d1813c,"['SQL', 'JavaScript', 'Data Science', 'R', 'Machine Learning']"
8e648e2f-4df1-4021-bed8-504a5fd18c83,['CSS']
51ffe915-d7b5-4772-b407-fde8def9f16a,"['Data Science', 'C++', 'JavaScript', 'Java', 'HTML']"
211a7108-95c5-4024-b26f-f68a6ea00a11,['R']
5bdbbcf7-88aa-4c7a-addc-48352f3e1844,"['Python', 'Machine Learning', 'JavaScript']"
6a64a142-677c-416e-91d7-4099ad164c70,"['Data Science', 'Machine Learning', 'SQL', 'JavaScript', 'R']"
dde244f2-57fa-4c77-9311-bec879168f42,"['Python', 'Java', 'SQL', 'CSS', 'C++']"
1941ae2b-c00e-446a-bf3e-da23781b7ea1,"['Java', 'CSS']"
cca55004-e095-477a-b883-a85f68a1d267,"['CSS', 'HTML']"
