CompanyName,RequiredSkills
Aayulogic,['C++']
Hearts & Tears,"['HTML', 'Machine Learning', 'CSS', 'JavaScript']"
Sustainable Solutions,['Python']
Innovate Tech,"['SQL', 'Java', 'JavaScript', 'CSS']"
SunBi Design Studio,['HTML']
Subisu,"['R', 'SQL', 'Java', 'CSS', 'Data Science']"
Stupa Tech,"['JavaScript', 'C++', 'Python', 'Java', 'Data Science']"
Braindigit,"['Data Science', 'HTML', 'CSS']"
WorldLink,"['Python', 'CSS', 'R']"
Nepal Construction Tech,"['R', 'JavaScript', 'Machine Learning', 'Python']"
Foodmandu,"['SQL', 'Python', 'Data Science']"
Nepal Manufacturing Tech,"['SQL', 'HTML', 'Machine Learning']"
NepBay,"['HTML', 'C++', 'SQL', 'Python', 'Data Science']"
Jobaxle,"['C++', 'R']"
Subisu,"['CSS', 'HTML', 'Machine Learning', 'Data Science', 'R']"
Pumori Software Solutions,"['Data Science', 'SQL', 'CSS', 'Machine Learning']"
Nepware,"['CSS', 'R']"
Nepware,"['C++', 'JavaScript', 'Data Science', 'Java', 'Python']"
Nepal Beauty Tech,['C++']
Digi Technolab,"['JavaScript', 'HTML', 'Python', 'CSS']"
Deerwalk,"['Machine Learning', 'R']"
Tech One Global,"['JavaScript', 'CSS', 'HTML', 'Data Science']"
Nepal Retail Tech,['SQL']
Nepware,"['JavaScript', 'Machine Learning', 'Data Science', 'SQL']"
Nepal Food Tech,"['HTML', 'Java', 'Python', 'C++']"
Nepal Fashion Tech,"['Python', 'R']"
Webpage Nepal,['Python']
Subisu,"['CSS', 'JavaScript', 'C++', 'R']"
GrowByData,"['Python', 'HTML']"
Swift Technology,['R']
NepBay,"['JavaScript', 'R', 'Data Science']"
Nepal Blockchain Solutions,"['Data Science', 'HTML', 'Java']"
Nepal Network Solutions,['C++']
Nepal Blockchain Solutions,['Python']
Braindigit,['C++']
Urban Girl,"['HTML', 'Data Science']"
Nepal Agri Tech,"['C++', 'SQL']"
ESignature,"['JavaScript', 'Java', 'Data Science', 'R']"
Nepal Automotive Tech,"['R', 'HTML']"
NepBay,"['JavaScript', 'R']"
Genese Solution,['Java']
Urban Girl,"['HTML', 'SQL', 'C++', 'CSS', 'Machine Learning']"
Vianet,"['Machine Learning', 'SQL', 'CSS', 'Python', 'JavaScript']"
Tech Sansar,['Java']
Nepal Hospitality Tech,"['Python', 'Machine Learning']"
Nepal App Development,['Machine Learning']
Ansu Solutions,"['JavaScript', 'R', 'Data Science']"
Optimum Futurist,"['C++', 'Java', 'HTML', 'Machine Learning', 'SQL']"
Nepal Agri Tech,"['Python', 'C++', 'Java', 'Machine Learning', 'SQL']"
One Click Innovation,"['Java', 'R', 'Python', 'JavaScript', 'Data Science']"
Nepal Food Tech,"['Python', 'JavaScript', 'Machine Learning', 'CSS', 'C++']"
VertexWeb,"['R', 'CSS', 'Machine Learning']"
Stupa Tech,['C++']
EB Pearls,['R']
Innovate Tech,"['C++', 'SQL', 'R', 'Machine Learning']"
Nepal Smart Tech,"['Data Science', 'CSS']"
Nepal Media,"['Java', 'C++', 'HTML', 'Machine Learning']"
Webpage Nepal,['Java']
Pathao,"['CSS', 'SQL', 'JavaScript', 'Machine Learning', 'C++']"
Nepal E-commerce Development,"['CSS', 'Machine Learning', 'SQL']"
Nepal Computer,"['SQL', 'Data Science']"
Nepal B2B,"['C++', 'SQL', 'Java', 'HTML']"
Tootle,"['JavaScript', 'C++', 'HTML']"
Nepal Edu Tech,"['HTML', 'Python']"
Nepal Legal Tech,"['R', 'C++', 'Data Science']"
Echo Innovators,['Data Science']
Nepal AI Solutions,"['Data Science', 'CSS', 'Java']"
Nepal Digital Marketing,"['SQL', 'CSS', 'C++', 'JavaScript']"
Stupa Tech,"['C++', 'HTML']"
NepaliPatro,"['Machine Learning', 'C++', 'HTML', 'Data Science']"
Nepal Beverage Tech,['Java']
Nepal Energy Tech,"['HTML', 'Machine Learning', 'SQL']"
Nepal Online Services,"['R', 'JavaScript', 'C++', 'Java', 'Machine Learning']"
Nepal IT,['Machine Learning']
Nepal Water Tech,"['R', 'Java', 'Python']"
Cotiviti Nepal,"['Data Science', 'Machine Learning', 'SQL']"
Nepal Hospitality Tech,"['C++', 'HTML', 'Python']"
Himalaya Organization,"['R', 'C++', 'Machine Learning']"
Pumori Software Solutions,"['JavaScript', 'Data Science']"
Nepal E-commerce Solutions,"['Machine Learning', 'Python', 'Java']"
DigiHub,"['Python', 'C++', 'SQL']"
ITONICS,['SQL']
Insight Workshop,"['HTML', 'R']"
Nepal Beverage Tech,"['HTML', 'Java']"
Innovative Solutions,"['Machine Learning', 'Data Science', 'Java', 'CSS', 'C++']"
Verscend Technologies,"['Data Science', 'JavaScript', 'Java']"
Sagoon,"['HTML', 'Java', 'Data Science', 'Python']"
Foodmandu,"['Java', 'SQL']"
Nepal Food Tech,['CSS']
ITONICS,['Machine Learning']
Yellow Nepal,"['JavaScript', 'R', 'CSS', 'Java']"
Tech In Asia Nepal,"['JavaScript', 'Python']"
SunBi Design Studio,"['Machine Learning', 'Data Science', 'HTML', 'CSS', 'C++']"
Nepal Agri Tech,"['JavaScript', 'C++', 'Java', 'Machine Learning', 'CSS']"
Nepal Payment Solutions,['Data Science']
