Product Name,Color,Cost,Quantity,Shape,Size
Red Chillies Powder,Red,50,100,Powder,Small
Turmeric Powder,Yellow,40,150,Powder,Small
Wheat Flour,Brown,30,200,Powder,Medium
Sugar,White,20,300,Grain,Medium
Green Peas,Green,25,250,Whole,Small
Olive Oil,Green,100,50,Liquid,Large
Tomato Ketchup,Red,60,150,Liquid,Medium
Brown Rice,Brown,80,180,Grain,Large
Apple,Red,30,80,Whole,Medium
Orange Juice,Orange,50,100,Liquid,Medium
Carrot,Orange,20,90,Whole,Medium
Milk,White,40,200,Liquid,Large
Butter,Yellow,70,60,Solid,Small
Cheese,Yellow,80,70,Solid,Medium
Broccoli,Green,40,110,Whole,Medium
Onion,White,10,300,Whole,Small
Garlic,White,15,250,Whole,Small
Chicken Breast,White,150,100,Solid,Large
Ginger,Brown,30,100,Whole,Small
Lemon,Yellow,20,200,Whole,Small
Banana,Yellow,10,300,Whole,Medium
Cucumber,Green,15,250,Whole,Medium
Bell Pepper,Red,25,200,Whole,Medium
Potato,Brown,10,300,Whole,Medium
Tomato,Red,15,250,Whole,Small
Mango,Orange,50,100,Whole,Medium
Papaya,Orange,60,80,Whole,Large
Strawberry,Red,30,120,Whole,Small
Blueberry,Blue,40,150,Whole,Small
Almonds,Brown,100,60,Grain,Small
Cashews,White,120,50,Grain,Small
Walnuts,Brown,150,40,Grain,Small
Peanut Butter,Brown,80,70,Solid,Medium
Honey,Brown,60,100,Liquid,Medium
Maple Syrup,Brown,70,90,Liquid,Medium
Coconut Oil,White,90,60,Liquid,Large
Sunflower Oil,Yellow,80,70,Liquid,Large
Soy Milk,White,40,200,Liquid,Large
Almond Milk,White,50,150,Liquid,Large
Tofu,White,30,100,Solid,Medium
Chia Seeds,Black,100,60,Grain,Small
Quinoa,White,70,90,Grain,Small
Couscous,Yellow,50,100,Grain,Small
Oats,White,40,150,Grain,Medium
Cornflakes,Yellow,30,200,Grain,Medium
Pasta,Yellow,50,100,Solid,Medium
Noodles,Yellow,40,150,Solid,Medium
Spaghetti,Yellow,50,100,Solid,Medium
Bread,Brown,20,200,Solid,Medium
Bagel,Brown,25,150,Solid,Small
Croissant,Brown,30,120,Solid,Small
Muffin,Brown,40,100,Solid,Small
Chocolate Bar,Brown,50,100,Solid,Small
Ice Cream,White,60,80,Solid,Medium
Product 4,Orange,22,406,Powder,Small
Product 5,Green,69,130,Powder,Medium
Product 6,Red,64,212,Liquid,Small
Product 7,Red,23,227,Whole,Small
Product 8,Green,76,279,Whole,Small
Product 9,Brown,87,405,Whole,Medium
Product 10,White,34,327,Solid,Small
Product 11,White,29,194,Powder,Medium
Product 12,Green,93,297,Grain,Medium
Product 13,Yellow,99,291,Grain,Small
Product 14,Green,91,464,Powder,Small
Product 15,Brown,52,154,Solid,Large
Product 16,Yellow,24,77,Whole,Small
Product 17,Yellow,34,160,Powder,Medium
Product 18,Green,43,141,Solid,Medium
Product 19,White,48,493,Whole,Small
Product 20,Orange,53,69,Whole,Small
Product 21,Orange,19,399,Powder,Medium
Product 22,Red,68,328,Powder,Large
Product 23,Yellow,37,288,Powder,Large
Product 24,Brown,38,305,Solid,Medium
Product 25,Green,38,78,Powder,Small
Product 26,Red,88,206,Solid,Medium
Product 27,Orange,72,136,Liquid,Medium
Product 28,Orange,92,301,Powder,Medium
Product 29,Yellow,10,330,Liquid,Large
Product 30,Green,34,218,Powder,Large
Product 31,Brown,75,219,Powder,Small
Product 32,Yellow,63,322,Grain,Large
Product 33,Yellow,46,403,Powder,Medium
Product 34,Brown,44,79,Solid,Large
Product 35,Red,70,418,Powder,Large
Product 36,Orange,91,300,Solid,Large
Product 37,Green,71,277,Solid,Small
Product 38,Orange,31,177,Liquid,Small
Product 39,Green,75,80,Whole,Large
Product 40,Brown,39,79,Powder,Large
Product 41,Green,22,284,Grain,Small
Product 42,Orange,98,82,Liquid,Small
Product 43,Green,47,315,Liquid,Large
Product 44,Green,63,403,Liquid,Small
Product 45,Red,100,52,Whole,Large
Product 46,White,41,218,Grain,Large
Product 47,White,100,215,Liquid,Large
Product 48,White,45,487,Grain,Medium
Product 49,White,71,250,Grain,Medium
Product 50,Orange,35,487,Solid,Medium
Product 51,White,63,77,Whole,Small
Product 52,Orange,61,420,Powder,Medium
Product 53,Yellow,27,452,Powder,Medium
